Hcell	Pcell	Delta_mean_%	meanP	maxP	Variance_P	CV_P	meanH	maxH	new_meanH	new_maxH	new_Variance_H	new_CV_H
Cell#308	3945_0_2_0_3	-35.38	84279089116.6922	412096196200.76587	2415.045428729822	0.5830997015626553	8946000000.0	19409000000.000004	5780954728.358937	19409000000.000004	4.12762683668815	0.35143955906816265
Cell#943	3948_1_2_1_2	-39.99	95668482769.0051	351833580762.40027	3319.7341514771665	0.6022582622351366	27459000000.0	48680000000.0	16477283325.028921	48679999999.99999	52.968971150094305	0.44169772186076
Cell#924	3944_2_1	42.64	158903645146.64603	340285261861.32715	6159.8206431677845	0.49391267765962316	7672000000.000001	24465999999.999996	10943428806.399113	24466000000.0	33.674161613723435	0.5302674620616875
Cell#749	3952_2_2_1_1	3.33	157550594022.64264	447894560544.2406	7612.967309246061	0.5538050829588168	7479000000.0	22689000000.0	7727878957.340629	22689000000.0	20.055934931595832	0.5795102807353456
Cell#173	3950_3_2_0_1_2_1	-12.08	111297577790.25732	304756719075.95105	3730.9494829328078	0.5488124711121133	9111000000.0	22092000000.0	8009992367.435754	22092000000.0	19.573765651319253	0.5523382122619697
Cell#307	3961_2_3_1	-30.42	96423314246.18878	335652443711.79895	3067.2841384030626	0.5743742339334205	28518000000.0	50361000000.00001	19841584720.40027	50361000000.0	49.606544921863055	0.35497121257270414
Cell#141	3948_1_0_2_2	-6.05	141422091387.29214	442682270564.3624	6986.817236713265	0.5910475699214127	22434000000.0	47543000000.0	21076740107.526085	47543000000.0	54.89101123581207	0.35151768178899706
Cell#30	3950_2_1_1_0_0	-36.3	89295261668.38922	361945276328.21234	2721.2591739020327	0.584193255598365	8494000000.0	20350000000.0	5410793093.816065	20350000000.0	8.043277988473132	0.524150026876365
Cell#89	3948_1_0_2_1	-28.47	75243246144.16266	400750097405.7636	2581.3722584806396	0.6752394315892688	7435000000.0	15182000000.0	5318114425.590809	15182000000.0	2.2979632080333032	0.2850452826585153
Cell#719	3945_2_0_0	-55.33	61854152268.037704	341527844756.15125	1616.488526658391	0.650006132628279	3286000000.0	7115000000.0	1467633361.6343365	7115000000.0	0.6605469304287154	0.5537761708148152
Cell#643	3950_3_0_3_3_3	-29.65	99929178585.32365	411347064205.7477	3611.772898316458	0.6014061984563451	37128000000.0	64199000000.0	26120839587.01597	64199000000.0	51.77092635776917	0.2754582828932554
Cell#366	3950_0_2_3_2_0	-39.12	42485525493.12054	183694881972.1688	636.1582737074029	0.5936652052257962	8193000000.0	14550000000.0	4987995338.712151	14550000000.0	2.8287606494824886	0.3371879624723295
Cell#677	3950_2_0_3_3_3_3	-36.7	90519071273.42348	403076087353.90063	2826.379646356953	0.5873204989042478	28035000000.0	58941000000.0	17745875972.85986	58941000000.0	49.67679021587239	0.39717263808083736
Cell#131	3948_1_0_0_2	-53.16	65468149077.05357	387133878461.0768	2935.574811271848	0.8275924378152901	8931000000.0	24872000000.0	4182626964.049406	24872000000.000004	12.11610479209632	0.8322089412826602
Cell#596	3945_3_0_1	7.9	164502939841.61813	409886078691.4294	7453.084228514926	0.5248006339497874	2267000000.0	5265000000.0	2445874588.7410398	5265000000.0	0.9681872892294604	0.402295804494877
Cell#308	3962_3_2_0	-20.51	112957447411.1963	396172213036.6409	4911.005590464114	0.6203979363468757	8946000000.0	19409000000.000004	7110685699.021434	19409000000.000004	9.353083773705594	0.43009652079759547
Cell#573	3950_0_0_2_3	-58.45	35967181278.566055	341571159429.2653	1972.0407013752654	1.234671812352605	5610000000.0	12419000000.0	2331489537.830047	12419000000.0	2.1979304136126285	0.635877558866343
Cell#493	3952_0_1_1	-46.52	74401733385.81277	364712827672.63257	3457.1393835104263	0.7902698096678696	13214000000.0	24721999999.999996	7067014486.09399	24721999999.999996	13.394931576285042	0.517886116032084
Cell#288	3961_2_3_3_1	-21.95	131514781107.38083	340690258139.39795	5169.418915409418	0.5466965048370209	6091000000.0	12020000000.0	4753853294.3857155	12020000000.0	6.188170766812929	0.5232814864634007
Cell#297	3952_3_1_2	-24.36	137080582379.95378	407578109756.4131	6585.732692808779	0.5920060006001602	14679000000.0	27053000000.0	11103280752.794325	27053000000.0	23.04529546969441	0.4323543362196507
